RA,ANO,FASE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPV,IAN,DEFASAGEM,GENERO,IDADE,ANO_INGRESSO,PONTO_VIRADA,IPP
RA-177,2022,3,AMETISTA,7.424,7.9,8.8,4.4,6.8,6.958,10.0,0,Feminino,13,2022,Não,8.03125
RA-178,2022,3,AGATA,7.025,0.0,8.8,4.4,6.3,8.458,10.0,0,Feminino,13,2016,Sim,7.739583333400001
RA-179,2022,3,AMETISTA,7.993,7.5,9.2,7.5,6.1,8.042,10.0,0,Masculino,12,2022,Não,7.84375
RA-180,2022,3,TOPAZIO,8.442,9.2,8.3,6.3,8.1,8.625,10.0,0,Masculino,12,2018,Sim,7.21875
RA-181,2022,3,TOPAZIO,8.623,9.2,9.5,8.8,6.8,8.458,10.0,0,Feminino,13,2019,Sim,7.5
RA-182,2022,3,AGATA,6.328,7.5,8.0,7.5,4.1,6.958,2.5,-3,Feminino,16,2021,Não,7.062500000200001
RA-183,2022,3,AMETISTA,7.3,8.3,8.8,7.5,3.8,7.25,10.0,0,Feminino,13,2022,Não,7.354166666599999
RA-184,2022,3,AMETISTA,7.28,8.8,7.7,7.5,7.2,8.0,2.5,-3,Masculino,16,2019,Não,7.375
RA-185,2022,3,AGATA,6.615,7.9,7.7,7.5,4.5,6.875,5.0,-2,Masculino,15,2021,Não,6.8541666668
RA-186,2022,3,AMETISTA,7.832,8.3,8.5,7.5,6.6,7.5,10.0,0,Feminino,13,2019,Não,8.25
RA-187,2022,3,AMETISTA,7.928,8.8,8.9,7.5,5.8,7.917,10.0,0,Feminino,12,2019,Não,7.635416666599999
RA-188,2022,3,QUARTZO,5.307,0.0,6.1,7.5,2.7,7.583,5.0,-1,Masculino,14,2021,Não,7.197916666599999
RA-189,2022,3,AMETISTA,7.629,10.0,9.7,5.0,7.2,7.333,5.0,-1,Masculino,14,2018,Não,8.052083333199999
RA-190,2022,3,AMETISTA,7.335,6.7,6.9,8.8,6.3,7.25,10.0,0,Feminino,13,2022,Não,7.21875
RA-191,2022,3,TOPAZIO,8.74,10.0,9.4,8.8,7.2,8.5,10.0,0,Masculino,13,2019,Sim,7.395833333400001
RA-192,2022,3,QUARTZO,4.932,8.8,3.6,7.5,2.7,4.708,5.0,-2,Masculino,15,2021,Não,6.979166666599999
RA-193,2022,3,TOPAZIO,8.155,9.2,8.9,5.6,6.7,8.5,10.0,0,Masculino,12,2016,Sim,7.385416666599999
RA-194,2022,3,QUARTZO,4.265,0.0,6.2,5.0,3.2,3.75,5.0,-1,Feminino,14,2022,Não,6.8083333334
RA-195,2022,3,AMETISTA,8.017,8.8,9.2,5.0,6.3,8.25,10.0,0,Feminino,13,2017,Não,7.489583333400001
RA-196,2022,3,TOPAZIO,8.124,9.2,9.1,7.5,5.1,8.625,10.0,0,Masculino,12,2018,Sim,7.802083333400001
RA-197,2022,3,TOPAZIO,8.218,8.8,9.7,4.4,7.3,8.292,10.0,0,Feminino,13,2021,Não,7.53125
RA-198,2022,3,QUARTZO,5.554,0.0,6.2,5.0,4.6,5.958,10.0,0,Masculino,13,2017,Não,7.25625
RA-199,2022,3,AMETISTA,7.564,8.3,7.1,7.5,7.5,6.458,10.0,0,Masculino,13,2022,Não,8.40625
RA-200,2022,3,QUARTZO,5.705,7.9,5.6,4.4,5.5,4.917,5.0,-2,Masculino,15,2018,Não,7.375
RA-201,2022,3,AMETISTA,7.078,7.9,7.3,7.5,6.5,7.542,5.0,-2,Feminino,15,2021,Não,7.520833333400001
RA-202,2022,3,QUARTZO,5.201,0.0,5.2,4.4,5.4,6.917,5.0,-1,Feminino,14,2017,Não,7.375
